,N53,N87,N108,T53,T87,T108
ENSG00000000003,3822.15482651725,6148.152294814829,4682.48576670919,1138.087782969525,2233.653547480745,9800.912023089562
ENSG00000000005,229.1483829728985,588.8446437209989,1766.5582959706144,5.117301182416929,4.692549469497363,8.732621345194145
ENSG00000000419,2199.0204471258858,2721.9043225062496,2292.915810656651,3173.750193334979,2282.1432253322178,3282.010188902133
ENSG00000000457,1893.4892698286876,1622.3270796394866,1259.997413474097,2014.169745399303,4965.49943030646,6350.07115484701
ENSG00000000460,330.65709648282285,566.1454170922982,320.2396383598675,619.1934430724484,1945.061755106657,752.4608725775622
ENSG00000000938,301.511030227498,494.7096156431521,480.94171142772825,162.73017760085833,205.69008507963443,135.35563085050927
ENSG00000000971,3760.847583704325,11946.469449822624,6716.880851126239,2914.814753504683,1098.8386674406327,608.3726203818588
ENSG00000001036,3196.016920411479,4197.354053371791,3828.9015670081612,5528.73219748325,1072.2475537801477,5246.849991570816
ENSG00000001084,2372.8918078904094,3416.9012319320545,13644.537609682064,3117.459880328393,7446.293916514066,2648.8951413755576
ENSG00000001167,2651.2869924671327,2756.6207867619096,2707.4805788606977,3579.0404469823998,2991.5002868045694,7789.498239913178
ENSG00000001460,714.5811416391704,624.8963566018763,1185.4689158194367,823.8854903691255,781.309486671311,1343.3682502690328
ENSG00000001461,4338.743724973697,3536.4059838890375,2724.948195498509,3023.3015385719214,1274.8092725467839,18424.375601468782
ENSG00000001497,3598.0316273814765,1324.566636215943,2446.630837069388,4202.327731000782,3230.038218170685,2726.033296591439
ENSG00000001561,1207.049157677417,3639.220128030799,3827.737059232307,1255.7857101651143,4059.837382693469,1296.7942697613307
ENSG00000001617,2970.8886845082807,1247.1222159533172,1822.4546692116096,4323.096038905822,5543.465106632885,1475.8130073378106
ENSG00000001626,23.115845650774848,134.1924868343773,53.56735768928692,8.187681891867086,3.128366312998242,119.34582505098666
