,logFC,logCPM,F,PValue,FDR,neg_signed_logpval
ENSG00000123500,7.63150594229823,6.80751981452941,1010.96388782597,1.48553061609236e-58,2.78343871537225e-54,57.828118393161596
ENSG00000099953,6.13932672231553,7.57442274348754,777.46905710975,8.806381030174421e-53,8.25025806811891e-49,52.05520252762937
ENSG00000119771,-2.878056594045,3.90835829470472,735.558001500302,1.38025459651259e-51,8.62061012495214e-48,-50.860040797901476
ENSG00000179094,-2.15608776910806,6.60727779196151,630.079860250497,2.69533951049679e-48,1.2625644102044602e-44,-47.56938652240729
ENSG00000154736,-3.04190728145545,6.02709357968472,618.46481228379,6.625063764740019e-48,2.48267639519868e-44,-47.1788099373849
ENSG00000136158,-2.59844322870002,5.25975665858721,613.682530237708,9.63404927963586e-48,2.5961661995488203e-44,-47.01619113653319
ENSG00000137225,-3.00446122102841,2.02659492445121,613.596898309402,9.6990785060798e-48,2.5961661995488203e-44,-47.01326952539718
ENSG00000122641,3.78740110910997,5.91604896970957,573.850789265253,2.40653289098901e-46,5.63640084730764e-43,45.618608198280235
ENSG00000137070,-1.86456625908245,3.92872470467993,561.301161083795,6.89549282883846e-46,1.43556499037718e-42,-45.16143468885053
ENSG00000104415,4.02039567503906,3.93687610926096,543.347688479014,3.21822579980942e-45,6.029989681102919e-42,44.4923834878408
ENSG00000197576,-2.66069565526786,1.28481847599601,538.956622235512,4.72106094549649e-45,8.041683539615239e-42,-44.32596039310359
ENSG00000165795,-2.70655847779522,7.8455886765887,532.283539885053,8.493979741387741e-45,1.3262641534531799e-41,-44.070888779160505
ENSG00000163431,-2.76954035734777,6.40403408951043,521.162908485078,2.29143167674358e-44,3.30265810208804e-41,-43.63989308751612
ENSG00000267532,-2.2531311792905,1.49975623412606,518.05125872655,3.0342935837637e-44,4.06096849135574e-41,-43.51794240125525
ENSG00000117650,4.55667975364284,3.93184211425567,512.85250130799,4.86579678573656e-44,6.07802895828973e-41,43.31284603282324
ENSG00000090889,4.06211026602819,4.06911742589442,503.326669066115,1.1679384460943299e-43,1.3337863281790798e-40,42.93258004525958
ENSG00000113648,1.09353249388838,7.59608550964787,502.943586474207,1.21013863366838e-43,1.3337863281790798e-40,42.91716487399071
ENSG00000166803,3.42525754323077,3.47901478762031,499.970159510032,1.5951901165674999e-43,1.66050428967362e-40,42.797187549813195
ENSG00000165197,-5.61393647282764,4.05986212617688,495.920204656298,2.32898959319534e-43,2.2967514740895296e-40,-42.63283245205267
ENSG00000077152,3.02248741517309,3.67429398432468,491.254918159084,3.61289223889294e-43,3.3847380940068498e-40,42.44214499186461
ENSG00000169241,1.84732410736413,6.02657542867442,489.198656317585,4.38904631757256e-43,3.9160743263027195e-40,42.357629836024465
ENSG00000241684,-3.39134550953821,1.55294318012679,487.536534886838,5.1392163656459495e-43,4.3769771383231e-40,-42.28910309774039
ENSG00000158402,3.55384316562227,1.79280431199233,484.618778797308,6.78659237555909e-43,5.5287122322109e-40,42.1683482351406
ENSG00000065802,-1.08409175270104,4.85666205184316,483.424874883018,7.60734433396708e-43,5.939117116064219e-40,-42.118766925672496
ENSG00000130226,-4.16621134098847,0.956728685791341,481.385289096983,9.25048804476133e-43,6.933055779787719e-40,-42.03383535379552
ENSG00000134690,2.79691415620649,3.76794525246496,479.084540938799,1.1543091103399899e-42,8.277546699083449e-40,41.9376778766753
ENSG00000088325,3.47607239084067,5.49437002332815,478.744503588055,1.1927937283196498e-42,8.277546699083449e-40,41.923434653058855
ENSG00000123975,2.45513456341238,4.21561906906123,476.654839675082,1.4597409410192298e-42,9.768273575670469e-40,41.83572421124884
ENSG00000165072,-3.12403117288566,4.71629192433702,470.164162557963,2.7460520954006798e-42,1.77423372798353e-39,-41.56129122801316
